1.749489	16.745107	firetruck
\	853.305786	871.861389
16.745107	31.240872	firetruck
\	1091.201904	1091.201904
62.481744	82.350938	firetruck
\	948.327271	948.327271
122.464218	131.336625	firetruck
\	834.969238	890.638672
193.443479	217.561432	firetruck
\	890.638672	890.638672
362.144187	367.392654	firetruck
\	679.380188	729.406921
421.001990	441.870892	firetruck
\	695.858093	695.858093
517.723729	529.345334	firetruck
\	781.248047	798.942871
535.843435	545.590587	firetruck
\	647.005554	890.638672
593.076712	603.448682	firetruck
\	569.354431	663.096802
635.814225	647.685756	firetruck
\	798.942871	798.942871
718.665017	723.413630	firetruck
\	746.482483	746.482483
