0.694236	1.562031	horn
1.562031	2.727355	crash
28.290115	31.364588	horn
55.390110	57.249671	talking
74.481599	78.299896	talking
81.671900	82.787636	crash
105.496846	106.840392	talking
120.377253	121.720799	horn
123.479499	124.341397	crash
126.901739	129.664882	talking
190.555409	191.214507	crash
296.036459	297.988403	talking
378.068826	378.956073	crash
386.358252	387.980648	crash
397.309421	401.694959	driving
444.663087	445.905233	crash
452.394815	452.800414	crash
457.718300	458.529497	horn
458.529497	459.188596	crash
491.535104	494.196846	crash
501.320176	502.765122	crash
502.765122	504.488917	crash
509.482853	511.992495	tire
519.065125	524.540710	music
526.670104	527.126402	crash
