15.823469	17.594753	crash
\	4602.739746	4602.739746
48.237965	48.976000	horn
\	4602.739746	4602.739746
68.342037	70.733270	tire
\	4602.739746	4602.739746
92.077241	93.700918	crash
\	4602.739746	4602.739746
133.702413	134.351883	horn
\	4602.739746	4602.739746
143.267346	144.418680	crash
\	4602.739746	4602.739746
154.721648	156.168197	crash
\	4602.739746	4602.739746
166.057865	167.268242	horn
\	4602.739746	4602.739746
174.855242	175.799927	crash
\	4602.739746	4602.739746
175.918012	177.069347	tire
\	4602.739746	4602.739746
177.895946	180.169093	crash
\	4602.739746	4602.739746
232.008669	232.717182	crash
\	4602.739746	4602.739746
235.256023	235.935015	tire
\	4602.739746	4602.739746
242.990629	244.141963	tire
\	4602.739746	4602.739746
257.456114	258.430320	talking
\	4602.739746	4602.739746
260.673947	262.415709	talking
\	4602.739746	4602.739746
262.888051	265.161199	talking
\	4602.739746	4602.739746
319.214879	321.428984	crash
\	4602.739746	4602.739746
