23.031823	25.284936	driving
\	603.275757	1168.162598
26.953909	30.166681	crash
\	304.838806	642.974792
50.138721	51.932867	driving
\	444.369720	844.833557
52.948159	54.297245	horn
\	325.142151	577.463867
79.762986	80.347127	crash
\	-1.000000	784.247437
83.240013	85.242780	driving
\	769.475891	784.247437
100.249626	100.583421	scream
\	711.845154	711.845154
101.320550	102.391475	crash
\	314.939697	479.228271
141.348079	141.654057	scream
\	1303.648682	1303.648682
141.654057	142.905787	crash
\	527.363708	539.701477
178.913872	179.943072	horn
\	590.305298	769.475891
182.210093	182.696877	scream
\	539.701477	552.163208
204.657776	205.881689	horn
\	366.987823	1675.018188
206.034679	206.396289	crash
\	491.082184	1283.708008
206.938705	207.689743	crash
\	656.474731	1024.503052
208.426873	208.705035	crash
\	399.489288	642.974792
256.368113	257.995362	crash
\	642.974792	1168.162598
269.970241	271.388867	crash
\	455.873169	1225.068481
305.366370	308.551326	crash
\	377.713470	924.055603
313.739049	315.255033	talking
\	629.609192	1581.873413
316.117336	318.718151	talking
\	656.474731	697.794189
367.410430	368.161467	tire
\	814.237488	814.237488
397.883089	399.913673	crash
\	255.822342	814.237488
414.864886	415.713281	crash
\	-1.000000	799.167480
504.572168	504.905963	crash
\	255.822342	711.845154
505.893439	506.255049	scream
\	616.376648	629.609192
507.131260	507.534595	scream
\	670.110291	726.037415
539.537146	541.553822	driving
\	697.794189	876.047729
572.471541	573.361659	crash
\	-1.000000	754.851318
595.934515	597.603488	music
\	940.381042	1041.838135
597.826018	598.590963	tire
\	799.167480	1168.162598
599.161196	600.927525	music
\	860.362549	891.890564
632.860536	633.319503	crash
\	98.340195	799.167480
652.081538	654.028673	crash
\	236.891907	2200.973877
