20.688211	22.710367	crash
\	498.134949	509.069580
29.191636	33.054472	driving
\	1038.895264	1187.050171
33.624824	34.195176	horn
\	1086.940552	1086.940552
36.709908	42.517125	driving
\	710.995789	710.995789
52.576055	53.457507	crash
\	67.668243	355.037659
65.486743	68.390351	driving
\	509.069580	531.239136
70.256957	71.682836	crash
\	220.629028	455.376404
83.997247	88.171185	music
\	1989.428833	2038.742310
89.026712	92.733998	driving
\	1310.954590	1583.705688
93.226575	94.626529	crash
\	520.103943	916.996216
104.166957	106.422438	crash
\	434.572906	542.475891
126.358822	130.506834	driving
\	1070.779785	1070.779785
158.920718	162.731704	driving
\	931.753601	1329.307495
266.380159	267.806039	crash
\	404.067780	1007.585022
272.239227	274.702109	driving
\	749.981262	1038.895264
282.868508	287.353546	music
\	1755.865112	1869.995117
335.055687	339.696275	talking
\	624.057434	1187.050171
359.140083	360.514112	crash
\	272.205292	281.078033
460.740457	462.632987	crash
\	374.382843	1119.705933
516.116420	521.923637	crash
\	648.335388	1869.995117
529.623385	531.515915	crash
\	531.239136	736.867859
579.088430	584.740097	music
\	1204.271851	1502.205688
