9.888344	11.516155	crash
45.530114	55.442754	driving
62.561389	69.145520	driving
69.461364	70.165939	horn
70.165939	70.919105	crash
97.231332	106.317919	driving
107.459816	110.326707	crash
111.954518	118.903083	music
125.730171	126.434746	crash
131.318179	132.241415	horn
132.241415	133.018877	crash
147.547696	151.216345	driving
152.892747	153.621618	crash
269.463445	270.751116	crash
272.063083	276.703559	music
333.093844	335.037499	crash
335.329047	336.276579	crash
365.479993	367.083508	crash
373.764821	378.453889	talking
407.705894	408.118920	crash
459.941617	460.670488	horn
486.982715	490.627067	music
502.604840	503.965399	horn
506.297784	507.099542	crash
507.099542	509.480519	horn
512.298819	517.182251	driving
519.563229	520.802308	crash
561.521877	562.202156	crash
