7.904245	15.206262	driving
16.335440	16.837297	crash
16.837297	17.891196	tire
50.562076	51.942182	talking
53.899423	57.312050	driving
59.143827	59.796241	scream
59.996984	62.907754	crash
68.076879	68.603829	tire
70.535977	71.188391	crash
93.797041	94.775662	scream
96.331418	97.159482	scream
102.152958	105.716141	music
112.315558	114.799750	music
138.813599	141.046862	crash
141.523626	145.387923	driving
148.524529	149.227128	crash
157.733601	158.938058	tire
158.938058	160.192700	crash
168.824637	170.380394	horn
171.007715	171.685221	crash
180.141509	183.529042	driving
183.805064	184.959334	crash
226.237059	226.964751	horn
268.919982	273.286136	driving
274.892078	275.569585	crash
275.745235	278.154148	tire
279.935739	281.591867	talking
309.018343	309.419828	horn
320.786885	321.238556	crash
321.238556	323.597283	horn
362.064609	363.093416	tire
363.093416	363.494901	crash
386.981801	392.351669	driving
392.351669	394.083075	crash
399.277293	401.058885	crash
433.955600	435.661913	horn
444.645151	446.200907	talking
447.054063	448.258520	tire
450.015019	452.198096	talking
456.338415	456.965736	scream
457.066107	457.668335	crash
458.822606	462.536347	talking
465.472209	466.751944	tire
489.285316	493.927491	music
494.178420	494.655184	scream
518.518476	521.052853	music
551.490470	553.221876	horn
554.501611	555.430046	horn
561.577792	564.112169	music
571.941135	573.823099	crash
574.400234	575.353762	crash
579.719916	582.329572	driving
585.491270	586.018219	scream
